,DHSID,DHSCC,DHSYEAR,v001,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,wt,dPrevU5,pc_bas_w,pc_bas_s,pc_imp_h,pc_Wnoed
0,CI201200000001,CI,2012.0,1.0,9.0,Sud sans Abidjan,GPS,R,5.973453,1.80315,0.0416666666666666,27.160493827160494,11.728395061728394,0.0,72.41379310344827
1,CI201200000002,CI,2012.0,2.0,8.0,Ouest,GPS,R,6.462503,0.997934,0.2333333333333333,69.66292134831461,0.0,0.9803921568627452,74.07407407407408
2,CI201200000003,CI,2012.0,3.0,8.0,Ouest,GPS,R,7.274597,0.192455,0.0909090909090909,48.21428571428572,0.0,0.0,62.5
3,CI201200000004,CI,2012.0,4.0,6.0,Nord-Est,GPS,R,7.731449,0.470353,0.1481481481481481,87.59124087591242,2.9197080291970803,0.0,47.82608695652174
4,CI201200000005,CI,2012.0,5.0,3.0,Centre-Nord,GPS,U,7.71383,0.922173,0.2105263157894736,100.0,18.461538461538463,15.625,65.38461538461539
5,CI201200000006,CI,2012.0,6.0,1.0,Centre,GPS,R,7.745866,0.570016,0.0,43.03797468354431,5.063291139240507,0.0,100.0
6,CI201200000007,CI,2012.0,7.0,1.0,Centre,GPS,U,6.643734,0.925392,0.0769230769230769,100.0,100.0,63.92405063291139,9.30232558139535
7,CI201200000008,CI,2012.0,8.0,8.0,Ouest,GPS,R,6.892448,0.543785,0.28,19.806763285024157,30.434782608695656,0.0,61.11111111111112
8,CI201200000009,CI,2012.0,9.0,11.0,Ville D'Abidjan,GPS,U,5.358886,1.012745,0.0,100.0,100.0,82.20858895705521,16.3265306122449
9,CI201200000010,CI,2012.0,10.0,8.0,Ouest,GPS,U,7.41094,0.897664,0.3636363636363636,100.0,8.641975308641975,100.0,85.71428571428571
10,CI201200000011,CI,2012.0,11.0,3.0,Centre-Nord,GPS,U,7.714617,0.572191,0.125,75.49668874172185,37.74834437086093,64.19753086419753,64.51612903225806
11,CI201200000012,CI,2012.0,12.0,10.0,Sud-Ouest,GPS,U,5.779923,0.635868,0.0,74.73684210526315,33.68421052631579,53.191489361702125,30.0
12,CI201200000013,CI,2012.0,13.0,4.0,Centre-Ouest,GPS,R,6.370819,0.849758,0.3636363636363636,82.56880733944955,5.504587155963304,32.55813953488372,62.96296296296296
13,CI201200000014,CI,2012.0,14.0,10.0,Sud-Ouest,GPS,R,4.819801,0.158611,0.125,8.823529411764707,0.0,0.0,61.11111111111112
14,CI201200000015,CI,2012.0,15.0,9.0,Sud sans Abidjan,GPS,R,6.150866,1.486792,0.0909090909090909,36.66666666666666,4.166666666666666,0.0,90.47619047619048
15,CI201200000016,CI,2012.0,16.0,9.0,Sud sans Abidjan,GPS,R,6.111719,1.771654,0.125,46.913580246913575,17.28395061728395,30.434782608695656,65.38461538461539
16,CI201200000017,CI,2012.0,17.0,1.0,Centre,GPS,R,6.356634,0.521256,0.3,82.17054263565892,0.0,2.4,50.0
17,CI201200000018,CI,2012.0,18.0,6.0,Nord-Est,GPS,R,8.246031,0.753271,0.1818181818181818,92.7927927927928,0.0,25.0,85.71428571428571
18,CI201200000019,CI,2012.0,19.0,11.0,Ville D'Abidjan,GPS,U,5.26283,2.313948,0.1818181818181818,100.0,91.25,89.01098901098901,13.725490196078432
19,CI201200000020,CI,2012.0,20.0,6.0,Nord-Est,GPS,U,8.031223,0.426326,0.1111111111111111,94.1747572815534,54.36893203883495,61.8421052631579,20.0
20,CI201200000021,CI,2012.0,21.0,11.0,Ville D'Abidjan,GPS,U,5.36311,1.633434,0.1666666666666666,100.0,48.18181818181818,72.05882352941177,40.74074074074074
21,CI201200000022,CI,2012.0,22.0,8.0,Ouest,GPS,R,7.054705,1.820578,0.3461538461538461,73.29545454545455,15.909090909090908,0.0,74.07407407407408
